Module                  Size  Used by
snd_hda_core          147456  11 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
libarc4                12288  1 mac80211
videodev              360448  2 videobuf2_v4l2,uvcvideo
kvm_intel             487424  0
btusb                  73728  0
snd_hwdep              20480  1 snd_hda_codec
btrtl                  32768  1 btusb
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_pcm               192512  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
btintel                69632  1 btusb
kvm                  1425408  1 kvm_intel
btbcm                  24576  1 btusb
btmtk                  36864  1 btusb
snd_seq_midi           24576  0
bluetooth            1011712  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd_seq_midi_event     16384  1 snd_seq_midi
irqbypass              12288  1 kvm
iwlwifi               659456  1 iwlmvm
drm_buddy              24576  2 xe,i915
cmdlinepart            16384  0
snd_rawmidi            57344  1 snd_seq_midi
processor_thermal_device_pci    16384  0
polyval_clmulni        12288  0
drm_display_helper    278528  2 xe,i915
polyval_generic        12288  1 polyval_clmulni
spi_nor               163840  0
processor_thermal_device    20480  1 processor_thermal_device_pci
ghash_clmulni_intel    16384  0
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
mei_hdcp               28672  0
sha256_ssse3           32768  0
cec                    94208  3 drm_display_helper,xe,i915
sha1_ssse3             32768  0
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
mei_pxp                16384  0
aesni_intel           122880  7
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
processor_thermal_rfim    40960  1 processor_thermal_device
mtd                    98304  3 spi_nor,cmdlinepart
crypto_simd            16384  1 aesni_intel
intel_rapl_msr         20480  0
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
rc_core                73728  1 cec
mei_me                 53248  2
processor_thermal_rapl    16384  1 processor_thermal_device
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
rapl                   20480  0
cfg80211             1437696  3 iwlmvm,iwlwifi,mac80211
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
i2c_algo_bit           16384  2 xe,i915
soundcore              16384  2 snd_ctl_led,snd
intel_cstate           20480  0
i2c_i801               36864  0
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_wt_req    12288  1 processor_thermal_device
lenovo_wmi_hotkey_utilities    12288  0
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
drm_ttm_helper         16384  2 nvidia_drm,xe
intel_pmc_core        122880  0
ttm                   118784  3 drm_ttm_helper,xe,i915
spi_intel_pci          12288  0
joydev                 32768  0
nvidia_wmi_ec_backlight    12288  0
i2c_smbus              20480  1 i2c_i801
ideapad_laptop         53248  0
spi_intel              36864  1 spi_intel_pci
wmi_bmof               12288  0
i2c_mux                16384  1 i2c_i801
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              16384  1 pmt_telemetry
input_leds             12288  0
int3403_thermal        16384  0
sparse_keymap          12288  1 ideapad_laptop
acpi_pad              184320  0
int3400_thermal        24576  0
intel_vsec             20480  2 intel_pmc_core,xe
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
platform_profile       20480  1 ideapad_laptop
serio_raw              20480  0
acpi_thermal_rel       20480  1 int3400_thermal
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
usbhid                 77824  0
hid_multitouch         36864  0
hid_generic            12288  0
nvme                   61440  2
intel_lpss_pci         28672  0
ucsi_acpi              12288  0
i2c_hid_acpi           12288  0
r8169                 126976  0
nvme_core             225280  3 nvme
ahci                   49152  0
intel_lpss             12288  1 intel_lpss_pci
typec_ucsi             65536  1 ucsi_acpi
i2c_hid                40960  1 i2c_hid_acpi
video                  77824  5 nvidia_wmi_ec_backlight,ideapad_laptop,xe,i915,nvidia_modeset
realtek                49152  1
libahci                53248  1 ahci
nvme_auth              28672  1 nvme_core
idma64                 20480  0
typec                 118784  1 typec_ucsi
hid                   262144  4 i2c_hid,usbhid,hid_multitouch,hid_generic
wmi                    28672  5 video,nvidia_wmi_ec_backlight,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
pinctrl_alderlake      32768  1
